-35	1.8
-34	1.4
8.8	1.3
2.7	1
-1.6	1.1
-16	0.89
20	1
12	1
14	0.85
-1.7	0.89
0.84	1.1
10	0.92
-11	0.93
11	1
29	0.96
6.8	0.92
10	0.9
24	0.96
3.1	0.93
8.1	0.92
9.7	0.96
14	1
13	0.99
13	0.95
11	0.85
17	0.93
-5.4	0.92
3.3	0.97
10	0.9
22	0.9
21	1
13	0.87
14	0.94
5.8	0.94
32	0.89
10	0.95
20	0.92
25	0.93
19	0.95
10	0.96
12	1.1
18	0.96
-4.7	0.95
30	0.95
7.1	0.95
15	1
9.7	0.91
4.3	0.97
7.1	0.93
17	0.98
-0.56	0.97
0.026	0.96
0.18	0.88
6.2	0.96
5.2	0.92
17	1
5.1	1
-3.7	0.97
2.3	0.98
-5.7	0.9
-7.3	0.95
-17	0.92
4.8	1
-20	1
