-68	2
-54	1.5
-56	1.6
-6.9	1
-1.5	1.1
-25	0.93
1.7	1.1
-1.5	1.1
-16	0.96
-14	0.94
7	1.1
0.81	0.95
-17	0.95
6.1	1
6.1	1.1
-9.5	0.98
-4	0.95
4.6	1
-6.3	0.95
-7.5	0.98
2.5	0.98
4.3	1
7.1	1
2.7	0.99
-3.4	0.9
-0.12	1
-11	0.94
2.2	0.97
-9.4	0.97
3	0.97
12	1
-4.8	0.92
3.9	0.97
-0.92	0.96
1.7	1
3.5	0.97
4.3	0.97
10	0.99
5.3	1
3.6	0.97
9.2	1.1
6.1	1
-16	0.99
11	1
-5.7	1
2.5	1.1
1.2	0.95
-4.3	1
0.28	0.95
2.3	1.1
-4.4	0.99
-8.3	0.99
-18	0.94
-1.9	0.99
-4.5	0.96
0.36	1.1
-3.8	1.1
-13	1
-7.6	1
-23	0.96
-20	1
-26	0.95
-6.7	1.1
-30	1
